time,open,high,low,close
2026-01-05 00:00,1.08500,1.08580,1.08492,1.08572
2026-01-05 01:00,1.08572,1.08695,1.08476,1.08598
2026-01-05 02:00,1.08598,1.08712,1.08401,1.08515
2026-01-05 03:00,1.08515,1.08629,1.08482,1.08596
2026-01-05 04:00,1.08596,1.08668,1.08589,1.08660
2026-01-05 05:00,1.08660,1.08660,1.08639,1.08640
2026-01-05 06:00,1.08640,1.08765,1.08557,1.08682
2026-01-05 07:00,1.08682,1.08694,1.08611,1.08622
2026-01-05 08:00,1.08622,1.08680,1.08427,1.08485
2026-01-05 09:00,1.08485,1.08653,1.08480,1.08649
2026-01-05 10:00,1.08649,1.08700,1.08572,1.08623
2026-01-05 11:00,1.08623,1.08876,1.08499,1.08751
2026-01-05 12:00,1.08751,1.08774,1.08709,1.08732
2026-01-05 13:00,1.08732,1.08942,1.08665,1.08876
2026-01-05 14:00,1.08876,1.08942,1.08681,1.08747
2026-01-05 15:00,1.08747,1.08821,1.08660,1.08734
2026-01-05 16:00,1.08734,1.08832,1.08724,1.08822
2026-01-05 17:00,1.08822,1.08858,1.08626,1.08663
2026-01-05 18:00,1.08663,1.08744,1.08451,1.08532
2026-01-05 19:00,1.08532,1.08576,1.08365,1.08409
2026-01-05 20:00,1.08409,1.08484,1.08397,1.08472
2026-01-05 21:00,1.08472,1.08496,1.08441,1.08464
2026-01-05 22:00,1.08464,1.08497,1.08437,1.08470
2026-01-05 23:00,1.08470,1.08554,1.08365,1.08449
2026-01-06 00:00,1.08449,1.08492,1.08349,1.08393
2026-01-06 01:00,1.08393,1.08457,1.08347,1.08412
2026-01-06 02:00,1.08412,1.08566,1.08378,1.08533
2026-01-06 03:00,1.08533,1.08556,1.08468,1.08491
2026-01-06 04:00,1.08491,1.08527,1.08450,1.08485
2026-01-06 05:00,1.08485,1.08610,1.08164,1.08289
2026-01-06 06:00,1.08289,1.08348,1.08158,1.08217
2026-01-06 07:00,1.08217,1.08323,1.08043,1.08149
2026-01-06 08:00,1.08149,1.08203,1.08106,1.08160
2026-01-06 09:00,1.08160,1.08249,1.08150,1.08238
2026-01-06 10:00,1.08238,1.08279,1.08191,1.08232
2026-01-06 11:00,1.08232,1.08449,1.08189,1.08406
2026-01-06 12:00,1.08406,1.08486,1.08275,1.08355
2026-01-06 13:00,1.08355,1.08436,1.08117,1.08198
2026-01-06 14:00,1.08198,1.08210,1.08119,1.08131
2026-01-06 15:00,1.08131,1.08211,1.08054,1.08134
2026-01-06 16:00,1.08134,1.08214,1.08047,1.08126
2026-01-06 17:00,1.08126,1.08236,1.08090,1.08200
2026-01-06 18:00,1.08200,1.08465,1.07996,1.08261
2026-01-06 19:00,1.08261,1.08262,1.08221,1.08223
2026-01-06 20:00,1.08223,1.08274,1.08214,1.08265
2026-01-06 21:00,1.08265,1.08342,1.08079,1.08155
2026-01-06 22:00,1.08155,1.08166,1.08117,1.08128
2026-01-06 23:00,1.08128,1.08263,1.07773,1.07908
2026-01-07 00:00,1.07908,1.07937,1.07645,1.07674
2026-01-07 01:00,1.07674,1.07690,1.07667,1.07683
2026-01-07 02:00,1.07683,1.07773,1.07570,1.07660
2026-01-07 03:00,1.07660,1.07671,1.07581,1.07592
2026-01-07 04:00,1.07592,1.07614,1.07543,1.07565
2026-01-07 05:00,1.07565,1.07592,1.07449,1.07476
2026-01-07 06:00,1.07476,1.07688,1.07440,1.07653
2026-01-07 07:00,1.07653,1.07723,1.07575,1.07645
2026-01-07 08:00,1.07645,1.07852,1.07526,1.07732
2026-01-07 09:00,1.07732,1.07822,1.07696,1.07785
2026-01-07 10:00,1.07785,1.07848,1.07644,1.07707
2026-01-07 11:00,1.07707,1.07879,1.07624,1.07796
2026-01-07 12:00,1.07796,1.07821,1.07620,1.07646
2026-01-07 13:00,1.07646,1.07646,1.07643,1.07644
2026-01-07 14:00,1.07644,1.07654,1.07626,1.07637
2026-01-07 15:00,1.07637,1.07858,1.07584,1.07805
2026-01-07 16:00,1.07805,1.07888,1.07760,1.07844
2026-01-07 17:00,1.07844,1.08061,1.07800,1.08017
2026-01-07 18:00,1.08017,1.08063,1.08009,1.08054
2026-01-07 19:00,1.08054,1.08056,1.08020,1.08022
2026-01-07 20:00,1.08022,1.08135,1.07920,1.08033
2026-01-07 21:00,1.08033,1.08154,1.07984,1.08105
2026-01-07 22:00,1.08105,1.08119,1.08024,1.08039
2026-01-07 23:00,1.08039,1.08151,1.07993,1.08105
2026-01-08 00:00,1.08105,1.08206,1.08033,1.08133
2026-01-08 01:00,1.08133,1.08173,1.08087,1.08127
2026-01-08 02:00,1.08127,1.08308,1.07835,1.08017
2026-01-08 03:00,1.08017,1.08069,1.07909,1.07961
2026-01-08 04:00,1.07961,1.07964,1.07913,1.07917
2026-01-08 05:00,1.07917,1.07985,1.07863,1.07931
2026-01-08 06:00,1.07931,1.07954,1.07854,1.07877
2026-01-08 07:00,1.07877,1.07907,1.07854,1.07884
2026-01-08 08:00,1.07884,1.07916,1.07809,1.07841
2026-01-08 09:00,1.07841,1.08057,1.07774,1.07990
2026-01-08 10:00,1.07990,1.08070,1.07971,1.08051
2026-01-08 11:00,1.08051,1.08087,1.07985,1.08022
2026-01-08 12:00,1.08022,1.08269,1.07918,1.08165
2026-01-08 13:00,1.08165,1.08194,1.08045,1.08074
2026-01-08 14:00,1.08074,1.08217,1.07968,1.08110
2026-01-08 15:00,1.08110,1.08152,1.08085,1.08126
2026-01-08 16:00,1.08126,1.08153,1.08015,1.08042
2026-01-08 17:00,1.08042,1.08062,1.07881,1.07901
2026-01-08 18:00,1.07901,1.08054,1.07628,1.07782
2026-01-08 19:00,1.07782,1.07892,1.07746,1.07857
2026-01-08 20:00,1.07857,1.07958,1.07662,1.07763
2026-01-08 21:00,1.07763,1.07804,1.07724,1.07765
2026-01-08 22:00,1.07765,1.07785,1.07656,1.07676
